time,cwnd,bytes_in_flight
0.51,12000,0
0.52,12000,0
0.53,12000,0
0.54,12000,0
0.55,12000,0
0.56,12000,0
0.57,12000,0
0.58,12000,0
0.59,12000,0
0.6,12000,0
0.61,12000,0
0.62,12000,0
0.63,12000,0
0.64,12000,0
0.65,12000,0
0.66,12000,0
0.67,12000,0
0.68,12000,0
0.69,12000,0
0.7,12000,0
0.71,12000,0
0.72,12000,0
0.73,12000,0
0.74,12000,0
0.75,12000,0
0.76,12000,0
0.77,12000,0
0.78,12000,0
0.79,12000,0
0.8,12000,0
0.81,12000,0
0.82,12000,0
0.83,12000,0
0.84,12000,0
0.85,12000,0
0.86,12000,0
0.87,12000,0
0.88,12000,0
0.89,12000,0
0.9,12000,0
0.91,12000,0
0.92,12000,0
0.93,12000,0
0.94,12000,0
0.95,12000,0
0.96,12000,0
0.97,12000,0
0.98,12000,0
0.99,12000,0
1,12000,0
1.01,12000,0
1.02,12000,0
1.03,12000,0
1.04,12000,11885
1.05,12000,11885
1.06,12000,11885
1.07,12000,11885
1.08,23885,23240
1.09,23885,23240
1.1,23885,23240
1.11,23885,23240
1.12,12062,327
1.13,12062,11158
1.14,12062,11158
1.15,12062,11158
1.16,12181,10831
1.17,12299,1205
1.18,12299,12059
1.19,12299,12059
1.2,12299,12059
1.21,12416,10854
1.22,6439,1206
1.23,6439,6030
1.24,6439,6030
1.25,6439,6030
1.26,6662,6030
1.27,6662,6030
1.28,6878,6030
1.29,6878,6030
1.3,6878,6030
1.31,7087,4824
1.32,4800,4824
1.33,5100,1206
1.34,5100,4824
1.35,5100,4824
1.36,5382,4824
1.37,5382,4824
1.38,5382,4824
1.39,5649,4824
1.4,5649,4824
1.41,5903,4824
1.42,4800,4824
1.43,5100,2412
1.44,5100,4824
1.45,5382,3618
1.46,5649,4824
1.47,5649,4824
1.48,5649,4824
1.49,5903,4824
1.5,5903,4824
1.51,6146,6030
1.52,4800,6030
1.53,5100,4824
1.54,5100,4824
1.55,5100,4824
1.56,5382,4824
1.57,5382,4824
1.58,5382,4824
1.59,5382,4824
1.6,5382,4824
1.61,5649,4824
1.62,5649,4824
1.63,5649,4824
1.64,5649,4824
1.65,5649,4824
1.66,5903,0
1.67,5903,4824
1.68,5903,4824
1.69,5903,4824
1.7,5903,4824
1.71,6146,6030
1.72,6146,6030
1.73,6146,6030
1.74,6146,6030
1.75,6146,6030
