time,cwnd,bytes_in_flight
0.51,12000,0
0.52,12000,0
0.53,12000,0
0.54,12000,0
0.55,12000,0
0.56,12000,0
0.57,12000,0
0.58,12000,0
0.59,12000,0
0.6,12000,0
0.61,12000,0
0.62,12000,0
0.63,12000,0
0.64,12000,0
0.65,12000,0
0.66,12000,0
0.67,12000,0
0.68,12000,0
0.69,12000,0
0.7,12000,0
0.71,12000,0
0.72,12000,0
0.73,12000,0
0.74,12000,0
0.75,12000,0
0.76,12000,0
0.77,12000,0
0.78,12000,0
0.79,12000,0
0.8,12000,0
0.81,12000,0
0.82,12000,0
0.83,12000,0
0.84,12000,0
0.85,12000,0
0.86,12000,0
0.87,12000,0
0.88,12000,0
0.89,12000,0
0.9,12000,0
0.91,12000,0
0.92,12000,0
0.93,12000,0
0.94,12000,0
0.95,12000,0
0.96,12000,0
0.97,12000,0
0.98,12000,0
0.99,12000,0
1,12000,0
1.01,12000,0
1.02,12000,0
1.03,12000,0
1.04,12000,11919
1.05,12000,11919
1.06,12000,11919
1.07,12000,11919
1.08,23919,9907
1.09,23919,23780
1.1,23919,23780
1.11,23919,23780
1.12,12079,14201
1.13,12198,328
1.14,12198,12141
1.15,12198,12141
1.16,12316,11813
1.17,12316,12257
1.18,12432,444
1.19,12432,12333
1.2,12432,12333
1.21,12547,11889
1.22,6273,11889
1.23,6502,1207
1.24,6502,6479
1.25,6502,6479
1.26,6723,6479
1.27,6723,6479
1.28,6723,6479
1.29,6937,1207
1.3,6937,6039
1.31,7144,4832
1.32,4800,4832
1.33,4800,4832
1.34,5100,1208
1.35,5100,4832
1.36,5382,4832
1.37,5382,4832
1.38,5382,4832
1.39,5382,4832
1.4,5649,1208
1.41,5903,3624
1.42,4800,4654
1.43,4800,4654
1.44,4800,4654
1.45,5100,2238
1.46,5382,4821
1.47,5382,4821
1.48,5382,4821
1.49,5382,4821
1.5,5382,4821
1.51,5649,0
1.52,5649,4824
1.53,5649,4824
1.54,5649,4824
1.55,5649,4824
1.56,5649,4824
1.57,5903,0
1.58,5903,5857
1.59,5903,5857
1.6,5903,5857
1.61,5903,5857
1.62,6146,0
1.63,6146,6040
1.64,6146,6040
1.65,6146,6040
1.66,6146,6040
1.67,6146,6040
1.68,6380,0
1.69,6380,6040
1.7,6380,6040
1.71,6380,6040
1.72,6380,6040
1.73,6380,6040
1.74,6605,0
1.75,6605,6040
