time,cwnd,bytes_in_flight
0.51,12000,0
0.52,12000,0
0.53,12000,0
0.54,12000,0
0.55,12000,0
0.56,12000,0
0.57,12000,0
0.58,12000,0
0.59,12000,0
0.6,12000,0
0.61,12000,0
0.62,12000,0
0.63,12000,0
0.64,12000,0
0.65,12000,0
0.66,12000,0
0.67,12000,0
0.68,12000,0
0.69,12000,0
0.7,12000,0
0.71,12000,0
0.72,12000,0
0.73,12000,0
0.74,12000,0
0.75,12000,0
0.76,12000,0
0.77,12000,0
0.78,12000,0
0.79,12000,0
0.8,12000,0
0.81,12000,0
0.82,12000,0
0.83,12000,0
0.84,12000,0
0.85,12000,0
0.86,12000,0
0.87,12000,0
0.88,12000,0
0.89,12000,0
0.9,12000,0
0.91,12000,0
0.92,12000,0
0.93,12000,0
0.94,12000,0
0.95,12000,0
0.96,12000,0
0.97,12000,0
0.98,12000,0
0.99,12000,0
1,12000,0
1.01,12000,0
1.02,12000,0
1.03,12000,0
1.04,12000,11884
1.05,12000,11884
1.06,12000,11884
1.07,12000,11884
1.08,23884,23058
1.09,23884,23851
1.1,23884,23851
1.11,23884,23851
1.12,12062,938
1.13,12181,10985
1.14,12181,11779
1.15,12181,11779
1.16,12299,11634
1.17,12416,794
1.18,12531,10862
1.19,12531,12069
1.2,12531,12069
1.21,12531,12069
1.22,6494,2413
1.23,6715,4827
1.24,6715,6034
1.25,6715,6034
1.26,6929,6035
1.27,6929,6035
1.28,7136,2414
1.29,7337,4828
1.3,7337,7242
1.31,7533,7242
1.32,4800,7242
1.33,5100,4828
1.34,5382,4828
1.35,5382,4828
1.36,5649,4828
1.37,5649,4828
1.38,5649,4828
1.39,5903,2414
1.4,5903,4828
1.41,6146,6035
1.42,4800,6035
1.43,4800,6035
1.44,5100,4828
1.45,5100,4828
1.46,5382,0
1.47,5382,4828
1.48,5382,4828
1.49,5382,4828
1.5,5382,4828
1.51,5649,4828
1.52,5649,4828
1.53,5649,4828
1.54,5649,4828
1.55,5649,4828
1.56,5903,0
1.57,5903,4828
1.58,5903,4828
1.59,5903,4828
1.6,5903,4828
1.61,6146,6035
1.62,6146,6035
1.63,6146,6035
1.64,6146,6035
1.65,6146,6035
1.66,6380,0
1.67,6380,6035
1.68,6380,6035
1.69,6380,6035
1.7,6380,6035
1.71,6605,0
1.72,6605,6035
1.73,6605,6035
1.74,6605,6035
1.75,6605,6035
