bandwidth,latency,loss,avg_delay_s,avg_throughput_Mbps,onload_s,retx_count,retx_rate_per_s,jitter_s,hol_events,hol_time_s,qpack_saved_bytes,qpack_compression_percent,run
1Mbps,5ms,0,4.8,0.048,37.221368,108,2.902,1.325712,9,27.287440,2940,0.1,1
1Mbps,5ms,0,4.8,0.048,37.221368,108,2.902,1.325712,9,27.287440,2940,0.1,2
1Mbps,5ms,0,4.8,0.048,37.221368,108,2.902,1.325712,9,27.287440,2940,0.1,3
1Mbps,5ms,0,4.8,0.048,37.221368,108,2.902,1.325712,9,27.287440,2940,0.1,4
1Mbps,5ms,0,4.8,0.048,37.221368,108,2.902,1.325712,9,27.287440,2940,0.1,5
2Mbps,5ms,0,6.4,0.093,18.768444,115,6.127,0.686659,9,13.836792,4900,0.1,1
2Mbps,5ms,0,6.4,0.093,18.768444,115,6.127,0.686659,9,13.836792,4900,0.1,2
2Mbps,5ms,0,6.4,0.093,18.768444,115,6.127,0.686659,9,13.836792,4900,0.1,3
2Mbps,5ms,0,6.4,0.093,18.768444,115,6.127,0.686659,9,13.836792,4900,0.1,4
2Mbps,5ms,0,6.4,0.093,18.768444,115,6.127,0.686659,9,13.836792,4900,0.1,5
5Mbps,5ms,0,3.2,0.254,7.549589,73,9.669,0.314904,6,2.555280,5040,0.1,1
5Mbps,5ms,0,3.2,0.254,7.549589,73,9.669,0.314904,6,2.555280,5040,0.1,2
5Mbps,5ms,0,3.2,0.254,7.549589,73,9.669,0.314904,6,2.555280,5040,0.1,3
5Mbps,5ms,0,3.2,0.254,7.549589,73,9.669,0.314904,6,2.555280,5040,0.1,4
5Mbps,5ms,0,3.2,0.254,7.549589,73,9.669,0.314904,6,2.555280,5040,0.1,5
10Mbps,5ms,0,1.4,0.587,3.843344,34,8.846,0.146593,7,1.602406,5320,0.1,1
10Mbps,5ms,0,1.4,0.587,3.843344,34,8.846,0.146593,7,1.602406,5320,0.1,2
10Mbps,5ms,0,1.4,0.587,3.843344,34,8.846,0.146593,7,1.602406,5320,0.1,3
10Mbps,5ms,0,1.4,0.587,3.843344,34,8.846,0.146593,7,1.602406,5320,0.1,4
10Mbps,5ms,0,1.4,0.587,3.843344,34,8.846,0.146593,7,1.602406,5320,0.1,5
20Mbps,5ms,0,0.8,1.075,1.929899,19,9.845,0.076011,1,0.160789,5460,0.1,1
20Mbps,5ms,0,0.8,1.075,1.929899,19,9.845,0.076011,1,0.160789,5460,0.1,2
20Mbps,5ms,0,0.8,1.075,1.929899,19,9.845,0.076011,1,0.160789,5460,0.1,3
20Mbps,5ms,0,0.8,1.075,1.929899,19,9.845,0.076011,1,0.160789,5460,0.1,4
20Mbps,5ms,0,0.8,1.075,1.929899,19,9.845,0.076011,1,0.160789,5460,0.1,5
